user_query,faq_unh,similarity,category,faq_answer
in what way do I apply for financial aid?,How do I apply for financial aid?,0.6,financial aid,"You first step is to provide the Free Application for Federal Student Aid (FAFSA) by the March 1st priority deadline for prospective students and January 1 for returning students. Once the FAFSA is completed with our federal school code indicated on the application, it will be sent to The University of New Haven from the federal processor. Note: We may request additional documents or information in order to successfully review your file. More detailed instructions and links are found on Applying for Financial Aid."
what are the requirements for applying for merit scholrships at the university of new haven,How do I apply for merit scholarships at the University of New Haven?,0.8,scholarship,Merit-based scholarships such as the Distinguished Scholar Award and the Presidential Scholarship are awarded by the University of New Haven Office of Undergraduate Admissions at the time of acceptance and recognize a student's scholastic achievement. Visit the Academic Scholarship page for more more detailed information.
"how do you define ""financial aid""?","What is meant by ""financial need""?",0.8,financial need,"Each student's individual financial need is calculated based on the following formula: Cost of Attendance (COA) – Expected Family Contribution (EFC) = NEED The Expected Family Contribution (EFC) is calculated by the Federal Department of Education from the information reported on your FAFSA. The EFC formula considers income, assets, family size and number of family members in college."
Consider the possibility that my family has mitigating or surprising conditions.,What if my family has extenuating or unusual circumstances?,0.5,extenuating or unusual circumstances,"Families who experience a significant change in income, marital status, loss of job, or encounter special circumstances that are affecting their current financial situation must submit a Special Circumstances Appeal Form and provide a detailed explanation of the situation along with supporting documentation to the Financial Aid Office. In some cases a financial aid counselor will request further information in order to perform an accurate evaluation."
Any help from University,Will the University of New Haven meet 100% of my need?,0.84,100% needs,"The financial aid office has a limited amount of resources to distribute as equitably as possible to all of our financial aid applicants. We meet a percentage of a student's need with grants and scholarships, loans and student employment. Most families supplement their EFC and unmet need through a variety of resources such as the federal parent PLUS loan, a private alternative loan or through the monthly payment plan. These alternative options can be found on our Student Loan Page."
What kind of monetary guide is accessible at the College of New Haven?,What type of financial aid is available at the University of New Haven?,0.5,financial aid,"Financial aid takes many different forms and comes from a variety of sources including federal, state, institutional, and private sponsors such as: Merit-based scholarships, Athletic grants, Need-based grants, Student Employment, Loans – Federal Subsidized Stafford, Unsubsidized Stafford Loan, and Private Alternative Loans. These resources are all outlined in Financial Aid Programs."
will the college of New Haven match a monetary guide bundle from another establishment?,Will the University of New Haven match a financial aid package from another institution?,0.7,financial aid,"Each institution has its own unique set of awarding criteria that may treat students differently, especially when it comes to awarding institutional funds. Most institutions do not get into the practice of matching another school's financial aid award."
Do I need to re-apply for monetary guide consistently?,Do I have to re-apply for financial aid every year?,0.4,financial aid,Yes. Financial aid is not automatic and must be reapplied for each year. You can file the FAFSA anytime after October 1. Our priority date to submit the FAFSA is January 1. Students are reminded to apply early since their financial aid award is based on the availability of funding at the time their FAFSA is received.
Might you at any point give me an students room number/telephone number?,Can you give me a student’s room number/phone number?,0.7,residential life,"For privacy reasons, we will not give out a student’s information, however, we would be happy to contact your student and leave your student a message to contact you."
My student isn't coexisting with their flat mate? How would it be a good idea for me to respond?,My student is not getting along with their roommate? What should I do?,0.6,residential life,"Your student should contact their Resident Assistant (RA). The RA, in conjunction with the Resident Director (RD)/Coordinator, will help your student to navigate the conflict and mediate if necessary. Our ultimate goal is to assist students in resolving their conflicts. If necessary, our staff can also assist with a room move based upon the vacancies available on campus."
"My student dislikes their room. How would they convey the requirement for a maintenance, and so on.?","My student has a problem with their room. How do they communicate the need for a repair, etc.?",0.7,residential life,Your student should log into myCharger and click the Facilities icon to submit a work ticket to request a repair.
What might my understudy at any point bring to grounds? What things are denied?,What can my student bring to campus? What items are prohibited?,0.4,residential life,Your student can find the list of what to bring on myCharger on the Residential Life page. Any specific questions can be directed to the Office of Residential Life.
could my student's younger sibling at any point come up to visit?,Can my student’s younger sibling come up to visit?,0.6,residential life,"Siblings are welcome to visit for the day; however, siblings under the age of 18 are not permitted to spend the night in the residence halls. More information regarding the Guest Policy can be found in the Student Handbook in the Office of Residential Life section."
what are upgraded realizing people group?,What are Enhanced Learning Communities (ELCs)?,0.7,residential life,"Enhanced Learning Communities, commonly known as ELCs, are communities within our first-year residence areas. Students are grouped together based upon their intended major or common interest. Each ELC works directly with a faculty advisor and a RA who plan programs, field trips, and other activities based upon the theme of each ELC. For more information about ELCs, click here."
What's the significance here to consent to a lodging permit arrangement?,What does it mean to sign a housing license agreement?,0.5,residential life,All students are required to complete a housing license agreement which is binding for the academic year. For more information please click here.
How might my studentworker reach out?,How can my commuter student get involved?,0.4,campus life,"All programs, events, and Recognized Student Organizations are open to all residential and commuter students. We encourage commuter students to make the most of their college experience by participating in on campus events, joining a Recognized Student Organization, staying on campus to utilize resources, and stepping out of their comfort zone to meet new people. If your commuter student is on campus for class, encourage them to stick around after class to see what programs and events are available."
"How does my student go after initiative jobs (for example Direction Pioneer, Occupant Colleague, Building Administrator, and so on.)?","How does my student apply for leadership positions (i.e. Orientation Leader, Resident Assistant, Building Manager, etc.)?",0.7,campus life,"Applications for various leadership positions are emailed to students via their University of New Haven email account or are available on Charger Connection. Most applications will be available in the spring semester. If your student is interested in a specific leadership position, please encourage them to reach out to the office overseeing the position."
What are the advantages of joining a Greek association?,What are the benefits of joining a Greek organization?,0.4,campus life,"Joining a fraternity or sorority aids in a student’s experience at the University of New Haven by developing brotherhood/sisterhood, enhancing leadership, encouraging academic success, and promoting philanthropy and community service efforts. Students who join a fraternity or sorority often feel as if they have found a home away from home. After graduation, students have access to alumni networks to support their post-college transition."
How and when could my student at any point join a Greek association at the College of New Haven?,How and when can my student join a Greek organization at the University of New Haven?,0.3,campus life,"Recruitment is the process by which a student shows interest in a Greek organization. Recruitment takes place throughout the year and includes information sessions, open houses, and individual chapter events. The University had deferred recruitment which means all students are eligible to join a Greek organization after they have completed 12 credit hours at the University of New Haven."
What are the capabilities of joining a Greek association at the College of New Haven?,What are the qualifications of joining a Greek organization at the University of New Haven?,0.6,campus life,"The University requires that all potential new members have a minimum cumulative GPA of 2.5 and have passed 12 University of New Haven credit hours. Individual Greek chapters may also have standards of membership such as higher GPA requirements, community service hours, leadership involvement, etc."
Will my student's grades endure by joining a Greek association?,Will my student’s grades suffer by joining a Greek organization?,0.5,campus life,"The Greek Life community at the University of New Haven strives for academic excellence and improved scholastic achievement. Chapters offer academic assistance for their members, providing monitored study hours and peer tutoring. Each chapter has GPA requirements that apply to both incoming and active members."
What amount of time does it require to be engaged with a Greek association?,How much time does it take to be involved in a Greek organization?,0.7,campus life,"When students join a Greek organization, they will participate in a period of orientation where they learn about the history and values of the Greek organization. Each Greek organization also has weekly chapter meetings, fundraising events, community service, and educational programs. Students will learn time management skills to help balance their multiple responsibilities."
What is the College's strategy against inception?,What is the University’s policy against hazing?,0.4,campus life,"As per University policy, hazing is any action taken or situation created which produces mental or physical discomfort, embarrassment, harassment, or ridicule. The University of New Haven has a strict no-hazing policy. Before becoming a new member of a Greek organization, all students will attend an anti-hazing workshop where they learn about hazing, how to spot hazing, and how to report hazing."
What can I do to support my student as he or she joins a Greek organization?,How can I be supportive as my student joins a Greek organization?,0.7,campus life,"We hope you will learn as much as you can by asking your student questions before and as they join a Greek organization at the University of New Haven. Many Greek organizations provide written statements concerning activities, finances and policies; students should be encouraged to read this information by visiting the chapter’s national website. Many of the Greek organizations also host family events and we would encourage you to participate with your student to gain insight of their experience."
Describe the Myatt Center for Diversity and Inclusion's mission.,What is the purpose of the Myatt Center for Diversity and Inclusion?,0.5,diversity & inclusion,"The Myatt Center for Diversity and Inclusion assists the University in promoting cultural diversity, awareness, and sensitivity throughout the campus community. Its programs, services and activities promote cultural identity and understanding within a multicultural environment."
The Myatt Center for Diversity and Inclusion provides students with what resources and assistance?,What kind of resources and assistance does the Myatt Center for Diversity and Inclusion provide students?,0.6,diversity & inclusion,"The Center can assist students with finding information about scholarships, internships, conferences and events that are of special interest to women, students of color, members of the LGBTQ (Lesbian, Gay, Bisexual, Transgender and Queer/Questioning) community, etc. The Center also maintains and advertises cultural events taking place in the New Haven area."
What is the location of the Myatt Center for Diversity and Inclusion?,Where is the Myatt Center for Diversity and Inclusion located?,0.8,diversity & inclusion,The Center is located on the first floor of Gerber Hall.
Would you be able to provide information about Jewish culture to my student (OR another subject)?,My student is looking for information about Jewish culture (OR other...). Can the Center help my student?,7,diversity & inclusion,"Yes! The Center is has a Diversity Resource Center which will feature books, DVDs, CDs, magazines, and journals where students, faculty and staff can find information on topics related to ability, race, gender, religion/spirituality, and sexual orientation. We are always open to recommendations!"
"How does the Myatt Center for Diversity and Inclusion support students of color, LGBTQ students, females, etc?","Is the Myatt Center for Diversity and Inclusion only for female or LGBTQ students, students of color, etc.?",0.5,diversity & inclusion,"No; any and all members of the University community, regardless of background are welcome and encouraged to stop by and chat with the Director, check out the Resource Center, and attend Myatt Center for Diversity and Inclusion events!"
The Myatt Center for Diversity and Inclusion sponsors what types of programs and events?,What types of programs and events does the Myatt Center for Diversity and Inclusion sponsor?,0.8,diversity & inclusion,"During the past year, Myatt Center for Diversity and Inclusion staff members have presented activities and workshops in classrooms and residence halls and co-sponsored programs with the International Services Office, the Center for Student Engagement, Leadership and Orientation, and various student organizations. In the coming months, the Myatt Center for Diversity and Inclusion plans to sponsor events such as guest speakers, movie nights, cultural craft nights, and poetry slams. If there is a specific event your student would like to see, please let us know!"
Would it be helpful if I had experience managing projects?,Do I need to have project management experience?,0.7,project management,"Students are required to have a baseline of professional experience - ideally 2 years of team and/or project related work - within the workforce, but are not required to have formal project management experience."
The entire program must be paid in advance?,Do I need to pay for the entire program up-front?,0.8,project management,"Students can pay for one module at a time. To save a seat in the class, students can register for the first module. All subsequent modules will be due at the first date of each module."
Is there a format for the program?,What is the program format?,0.4,project management,"Currently, the program is set up as in-classroom training, meeting one night a week for a lecture-style discussion. Out of class time for project and teamwork, along with takehome quizzes and exams, is also expected (at least 1-2 hours per week)."
My student needs assistance finding an internship.Could you please let me know if there is any assistance available?,My student needs help finding an internship. Is there any assistance available?,0.7,carrer development center,"Through our employer and alumni connections, on-campus recruiting programs, career fairs, and the hundreds of internship opportunities posted to our job posting site, Charger Link, the Career Development Center can absolutely help students locate internship opportunities. Aside from our direct connections, we employ a variety of techniques to teach students how to locate positions in their majors as well as companies in which they are interested. Students also connect with internships through their academic departments, with support from the CDC."
We need to write a resume for my student.Is it possible to access resources?,My student needs to have a resume written. Are there resources available?,0.8,carrer development center,"The Career Development Center assists with resumes by offering students opportunities to attend a resume-writing workshop, to submit their resume online for review, and to meet with a Career Advisor to learn how to build a great resume from scratch. Additionally, we partner with faculty across campus to conduct in-class resume workshops and work with staff, student groups, Athletics, and other programs to integrate resume and career development into their programs. The CDC staff has experience reviewing resumes in all degree programs, and stays abreast of employer preferences and feedback regarding resumes to ensure our students are successfully conveying their experiences and skills to employers in a format that produces results."
"Is the Charger Compact important to my student, and why should he or she use it?",What is the Charger Compact and why should that be important to my student?,0.7,Dean of students office,"The Charger Compact, is the University of New Haven's statement of community values.As a University community, there are values and expectations that we all share which provide the framework for how we interact as individual members of the community and speak to who we are and what we stand for as a community. To read the Charger Compact click on the link provided."
"Could you help me find someone to assist with Financial Aid, Registration, or Bill Paying?","I need assistance connecting with someone about Financial Aid, Registration or Bill Paying, can you help me?",0.47,Dean of students office,"Contact the Dean of Students office with your name, phone number, student name, student ID and the context of your concern, and a member of the appropriate staff will get back to you."
"The student must be with family during this difficult time as there has been an emergency or death in the family.To excuse a student's absence, who should we notify?",Our family experienced a recent emergency or death and our student needs to be with family at this time. Who do we inform so they can notify the student’s faculty to excuse their absences?,0.58,Dean of students office,The Dean of Students office should receive all emails or phone calls for family emergencies. We will send an email to the student’s faculty/staff to inform them of the student’s emergency. We will ask that the faculty/staff accommodate the student during this time.
"When my student has a concern about a professor, how should they handle it?",How should my student handle a concern they have with a faculty member?,0.63,Dean of students office,Your student can come to the Dean of Students office located on the 2nd floor in Bartels Hall and ask for a Student Grievance Form. We will explain the form to them and what the next steps will be.
What does a conduct offense mean in the letter I received?,"I received a letter regarding a conduct offense, what does that mean?",0.57,general student information,We send letters to families regarding student conduct to notify them of drug/alcohol violations for students under the age of 21 and ask them to partner with us to help educate their student on the University policy.
"Currently, I'm applying for jobs that require information about my disciplinary record.Is it possible for you to help me?",I am a former student and applying to jobs that are requesting my disciplinary information. Can you help me with this?,0.6,general student information,Please send us the release form from the company you are applying to. This is often accompanied with a form for the Dean to fill out and send directly back to the company.
My disciplinary information needs to be transferred to another University when I transfer to another school. What do I need to do?,"I am transferring to another school and need my disciplinary information transferred to another University, what do I need to do?",0.51,general student information,"Please fill out the transfer form and send it to us to complete the disciplinary section and return it directly to the school. Please make sure to include the fax, email or mailing address of the place to send it to."
"As a member of the student conduct committee, what do I need to do?What can I do to help my student?",What is my role in the student conduct process? How can I help my student?,0.35,general student information,"The Dean of Students Office encourages you to help your student by being supportive throughout the conduct process. You can help by identifying and providing necessary interventions to support your student’s success at University of New Haven. Please encourage and expect that your student will set up appointments, attend meetings, and fulfill any sanctions they may receive."
What is the process for determining sanctions?,How are sanctions determined?,0.52,general student information,"Conduct cases are considered on an individual basis with each involved student. The nature and severity of the offense, as well as a student’s conduct history, is taken into consideration when determining sanctions if a student is responsible for violating the Code of Conduct."
Are the alcohol and drug policies of the University applicable off campus?,Does the University’s alcohol and drug policies apply off campus?,0.9,general student information,"Yes, students are expected to abide by University alcohol and substance use policies on and off campus."
What education does the University offer students regarding alcohol and drug use?,How does the University educate students on alcohol and drug issues?,0.7,general student information,"Incoming students are required to complete an online alcohol and drug course before the end of their first semester of enrollment. Additionally, the University offers a peer education program which focuses on education, prevention, and harm reduction for underage and high-risk drinking. Finally, programming on alcohol and drug awareness occurs throughout the year, but particularly during National Collegiate Alcohol Awareness Week and Alcohol Awareness Month."
Whom does my student have to inform the University if they were assaulted?,Does my student have to tell the University who assaulted them?,0.47,reporting & assistance,"While the University does not require that a student disclose their responding party (""alleged""), it is important to note that withholding the responding party’s identity may affect the University’s ability to conduct a comprehensive inquiry and/or investigation."
"My student needs help contacting the police, can someone help them?",Is there someone that can assist my student in contacting the police?,0.56,local law enforcement & criminal charges,"University Police Department, the Dean of Students Office, and the College Advocate are all available to assist students in contacting the correct police department (based on jurisdiction and location of the misconduct). University PD and the Rape Crisis Center of Milford’s College Advocate can advise students on what to expect from a criminal police investigation."
"Do my students have the right to report assaults that occurred a while ago (months, years, etc.)?","My student may have been assaulted a while ago (months, years, etc.), can they still report?",0.36,dealing with disclosures,The University does not have a time restriction on complaints of sexual misconduct. Students are encouraged to still take advantage of the support systems available and to consider making a complaint when they feel ready to do so.
What are the requirements for studying abroad?,Who is eligible to study abroad?,0.63,general,"Students who are in good academic standing, without any disciplinary or financial holds are eligible to study abroad."
Are there any restrictions on how many times I can study abroad?,Can I go study abroad more than once?,0.4,academics,"If you can fit another program into your academic plan, you can easily go abroad more than once. Make sure to talk to your Academic Advisor and a Study Abroad Advisor to ensure another trip abroad will be beneficial."
"In case I don't know any foreign languages, am I able to study abroad?",Can I study abroad if I don’t speak a foreign language?,0.78,academics,Courses in our study abroad programs are generally taught in English. Some programs require that you take the language as part of your semester in order to better engage with the host community. For students who wish to specifically pursue language studies there are definitely options for them as well! We recommend that students take language while abroad (and before they go if possible!) in order to make the most of your experience and to be able to really get to know individuals form the place you will be living.
Does the pre-departure orientation take place?,Will there be a pre-departure orientation?,0.87,safety,Yes! Students are REQUIRED to attend the Pre-Departure Orientation. It is held on campus during the semester prior to their semester abroad. Friends and family are welcome to join.
"When a student is abroad, how can someone contact them?",How can someone get in touch with a student while they are abroad?,0.59,safety,"There is a variety of ways to keep in touch with students. Most commonly families choose to use ""WhatsApp"" and ""Viber,"" which are international communication applications that provide text messaging, video calling and audio calls through the use of Wi-Fi. Other options are email, and social media sites like Facebook or Instagram. In addition, the university will provide students with an Italian sim card, temporary cell phone, and cell phone plan so they can contact home and their new classmates in their host country."
Student health services on campus will require a copay?,Will students be responsible for paying a copay for visiting health services on campus?,0.42,health services,Health Services is equipped to collect co-pays at the time of service for any visit that has a co-pay applied that is not 100 percent covered by insurance.
How will the health services be organized?,What services will be offered at health services?,0.31,health services,"Health Services provides care for minor injuries and illnesses as well as evaluation, diagnosis and treatment, referral, and follow-up care for more severe conditions. The office is often the primary provider of on-campus medical care for students. Health Services also provides care and counseling in health-related matters. Health Services is open to ALL University students."
"A MyChart account has several benefits, but what are they?",What are the benefits of signing up for a MyChart account?,0.72,health services,"MyChart allows access to your personal health records and an online connection to health services. MyChart allows the following functions: communicating with your health providers within the YNHH network, requesting appointments, requesting prescription refills, accessing test results, viewing of medications and allergies, and more."
What is the process of confirming acceptance of students' health documents?,How will students know that their health documents have been accepted?,0.65,health services,Students should continue checking their status on Banner to ensure their health documents have been accepted.
Is there a relationship between Counseling and Psychological Services and the Health Center?,Will Counseling and Psychological Services (CAPS) have a relationship with the Health Center?,0.56,health services,"The staff at the Student Health Center and CAPS are both dedicated to providing the best care for students. Students may request that CAPS and Health Services providers communicate with each other. As has always been the case, students will need to sign a medical information release form and have it faxed to the respective office to allow this communication."
International Student Services at Universities,University Immigration Services,0.48,Immigration Services,The Office of University Immigration Services (UIS) provides document services and visa advising to the University’s diverse international student and scholar population throughout their visa status life cycle from the issuance of the I-20 or DS-2019 until the end of post-program periods of practical training.
What is the total cost of tuition including textbooks?,Are textbooks included in total tuition?,0.79,,"No, the tuition does not include the cost of textbooks."
Would it be possible to receive a discount if I paid for the entire school year in advance?,Can I receive a discount on my tuition if I pay for the entire year?,0.85,,"No, there are no discounts for paying for the entire year upfront."
Would I be able to continue my program if I was deployed?,Can I continue my program if deployed?,0.74,,"The University recognizes that students who serve in the U.S. uniformed services may encounter situations in which military obligations force them to withdraw from a course of study and that this may happen with little advance notice. An alternate method to complete coursework, including continuing online engagement if available, is appropriate for students who, wish to complete the course and before the current term has ended. Or, an incomplete (INC- M) may be appropriate for students who are enrolled, have completed the majority of a course, wish to complete the course, and are "
Does it really make sense to work while raising a family?,Can working professionals with family really do this?,0.89,,"Our online programs are designed to be flexible so you can complete your studies while maintaining work and family commitments. As a student, you will also receive support from academic advisors throughout your program to stay on track."
"During the program, will you be able to take breaks?",Can you take breaks throughout the program?,0.98,,"Students may interrupt continuous enrollment by electing to take a leave of absence from the University for medical or personal reasons. Normally, leaves are given for a period longer than two semesters."
Could you please let me know if you accept transfer credits?,Do you accept transfer credits?,0.75,,"Yes. We can accept up to six transfer credits, but students must complete at least 30 credits with the University of New Haven."
Can I pay my tuition on a monthly basis?,Do you have a monthly payment plan for tuition?,0.42,,The University of New Haven offers students the option of making tuition payments on a monthly basis through Nelnet Campus Commerce. The monthly payment option is an interest-free alternative to lump-sum payments that are due at billing time.
Is there an extension available for your application?,Do you offer an application extension?,0.53,,"While we don’t currently offer application extensions, we have rolling admissions with file deadlines roughly two weeks before each term begins. If you do not finish your application in time, you can apply for the next available session."
Can work experience be credited?,Do you provide credits for work experience?,0.51,,"The University of New Haven does not usually provide credits for work experience, but you will be able to speak to the program director about transfer credits and other types of credit transfer into graduate programs."
What is the estimated amount of aid that I will receive?,When will I know how much aid I have been awarded?,0.62,financial aid,"If you have submitted your FAFSA by the March 1 priority deadline and have been formally accepted by Admissions, you will receive an “estimated” financial aid award notification. The award will provide all the details of your “financial aid package”. Students selected for a process called ""Verification"" must submit additional documents to the Financial Aid Office. For those students, a final award will be made once all required documentation has been submitted. Your estimated award may be subject to change if the documentation you provide indicates a significant change from the information originally reported on your FAFSA."
Does my financial aid guarantee me a certain amount every year?,Am I guaranteed my financial aid each year?,0.72,financial aid,"A student's need is determined for one year at a time and is therefore subject to change from one year to the next. Students are required to renew their FAFSA by the annual deadline each year. The Financial Aid Office strives to maintain the same award from year to year. However, there are certain factors that can cause a significant change to a financial aid award. These include: changes in a family's expected family contribution (EFC), reduction in the number of family members in college/household, change in marital status, moving off campus, going on a study abroad program, and making satisfactory academic progress."
"During the next academic year, I will be attending a study abroad program at another university.Is my financial aid application still valid?",I will be attending a study abroad program through another university. Am I still eligible for financial aid?,0.71,financial aid,"Students studying abroad through another educational institution will be eligible for their federal financial aid through a consortium agreement but not institutional financial aid programs such as the University of New Haven Grant-in-Aid or merit based programs. In order to process your federal student aid, i.e. Pell grant, Federal Student/Parent Loans, students must have their study abroad courses approved by their academic advisor for transfer into their University of New Haven degree program, and complete a financial aid consortium agreement with the study abroad institution in order for our office to award and process financial aid."
Are there designated student organizations listed anywhere?,Is there a list of Recognized Student Organizations?,0.7,campus life,"The Center for Student Engagement, Leadership and Orientation recognizes more than 140 Recognized Student Organizations. Students can access a full list of Recognized Student Organizations by visiting Charger Connection, which can be found in the MyCharger portal. Please encourage your student to explore Charger Connection as a way to find out about events happening on campus. Each Recognized Student Organization has their own page on Charger Connection to share details about the meeting times, organization contact information, and upcoming activities."
when did you didn't open office?,What are the office hours?,0.2,general information,"The office is currently open Monday through Thursday from 8:30 a.m. – 4:30 p.m, and Fridays from 8:30 a.m – 1:30 p.m."
where you can get the bill?,How can I view my bill?,0.29,billing information,Students can access ePay by logging in to myCharger and clicking the ePay icon at the top of the page.
Can I be charged a late payment penalty?,What happens if I do not pay my bill by the due date?,0.74,billing information,"If your payment is not received by the designated due date, you may be assessed a late fee as well as have a financial hold placed on your record. This hold will restrict you from scheduling/registering for future classes, viewing grades, requesting transcripts, and receiving your diploma."
What is the process for getting my bill to my parent/family member?,How can my parent/family member have access to my bill?,0.73,billing information,"In order for others (parents, family members, etc.) to discuss a student’s tuition account with the One Stop Office staff, they must be set up as an authorized user. Each authorized user will receive their own personal login credentials for access to ePay. Authorized users will also be sent an email notification each time a new statement is available."
Did we need to pay common student fee?,What is the General Student Fee?,0.88,billing information,"The general fee provides a partial contribution supporting essential infrastructure, facilities and institutional services necessary to promote student learning. This fee covers access to health and counseling services and it supports student government and club activities. In addition, this fee supports technology infrastructure initiatives including, but not limited to, networks, electronic information resources, computer laboratories and smart technology classrooms. This fee also covers facility enhancements and student services such as access to the Beckerman Recreation Center. The general fee is charged for each semester in which a student enrolls."
"In the case that I am not taking a lab, why am I being charged a fee?",Why am I being charged a lab fee if I’m not taking a lab?,0.77,billing information,"Although the course in question does not necessarily have a laboratory component, there is an additional fee required to operate the class. This fee is used to support courses requiring specialized materials and/or a specialized environment. Lab fees are noted on the Academic Calendar."
"In layman's terms, what does tuition differential fee mean?",What is a tuition differential fee?,0.65,billing information,"Tuition differentials are additional fees associated with particular courses. These courses (usually engineering, chemistry, and computer science courses) require additional resources to operate. Tuition differential fees are noted on the Academic Calendar."
